time|path|count|max|mean|min|stddev|total time|p50|p75|p95|p98|p99|p999|mean_rate|m1_rate|m5_rate|m15_rate|rate_unit|duration_unit|Properties
1689606441057|https://leary:8443/swt-data/catalog/timeseries/Timer|1|442.572400|442.572400|442.572400|0.000000|442.572400|442.572400|442.572400|442.572400|442.572400|442.572400|442.572400|2.253612|0.000000|0.000000|0.000000|calls/second|milliseconds|[{pageSize:5000}{accept:application/json;version=2}{office:SWT}{unitSystem:SI}]
1689606441657|https://leary:8443/swt-data/catalog/timeseries/Timer|2|442.572400|373.178950|303.785500|69.393450|746.357900|442.572400|442.572400|442.572400|442.572400|442.572400|442.572400|1.916284|0.000000|0.000000|0.000000|calls/second|milliseconds|[{pageSize:5000}{accept:application/json;version=2}{office:SWT}{unitSystem:SI}{cursor:U1dUL0ZTTUkuVk9MVC1CQVRURVJZIExPQUQuSU5TVC4xSE9VUi4wLkRFQ09ERVMtUkFXfHxTV1R8fC4qfHxudWxsfHxudWxsfHxudWxsfHxudWxsfHwyNDQ2Nnx8NTAwMA==}]
1689606442069|https://leary:8443/swt-data/catalog/timeseries/Timer|3|442.572400|348.993955|301.344100|65.928906|1047.702000|303.785500|442.572400|442.572400|442.572400|442.572400|442.572400|2.061532|0.000000|0.000000|0.000000|calls/second|milliseconds|[{pageSize:5000}{accept:application/json;version=2}{office:SWT}{unitSystem:SI}{cursor:U1dUL09BSEVfTE9XRVItRDAwNyw1TS5URU1QLVdBVEVSLklOU1QuMURBWS4wLlRFU1RfVkVSU183fHxTV1R8fC4qfHxudWxsfHxudWxsfHxudWxsfHxudWxsfHwyNDQ2Nnx8NTAwMA==}]
1689606442431|https://leary:8443/swt-data/catalog/timeseries/Timer|4|442.572400|334.304543|290.673700|62.391724|1338.375700|301.344100|303.785500|442.572400|442.572400|442.572400|442.572400|2.201770|0.000000|0.000000|0.000000|calls/second|milliseconds|[{pageSize:5000}{accept:application/json;version=2}{office:SWT}{unitSystem:SI}{cursor:U1dUL09BSEVfTE9XRVItRDAzNiwwTS5URU1QLVdBVEVSLklOU1QuMURBWS4wLlRFU1RfVkVSUzIwMjItMDMtMDJUMTI6MjN8fFNXVHx8Lip8fG51bGx8fG51bGx8fG51bGx8fG51bGx8fDI0NDY2fHw1MDAw}]
1689606442760|https://leary:8443/swt-data/catalog/timeseries/Timer|5|442.572400|321.016058|268.257800|61.730016|1606.633500|301.344100|303.785500|442.572400|442.572400|442.572400|442.572400|2.329632|0.000000|0.000000|0.000000|calls/second|milliseconds|[{pageSize:5000}{accept:application/json;version=2}{office:SWT}{unitSystem:SI}{cursor:U1dUL09BSEVfTE9XRVIuRkxPVy1FVkFQLkFWRS4xREFZLjFEQVkuVEVTVF9WRVJTXzEyfHxTV1R8fC4qfHxudWxsfHxudWxsfHxudWxsfHxudWxsfHwyNDQ2Nnx8NTAwMA==}]
1689606443183|https://leary:8443/swt-data/location/category/Timer|1|79.037000|79.037000|79.037000|0.000000|79.037000|79.037000|79.037000|79.037000|79.037000|79.037000|79.037000|12.487575|0.000000|0.000000|0.000000|calls/second|milliseconds|[{accept:application/json}{office:SWT}]
1689606443539|https://leary:8443/swt-data/location/group/Timer|1|349.326100|349.326100|349.326100|0.000000|349.326100|349.326100|349.326100|349.326100|349.326100|349.326100|349.326100|2.857942|0.000000|0.000000|0.000000|calls/second|milliseconds|[{accept:application/json}{office:SWT}{includeAssigned:true}]
1689606443627|https://leary:8443/swt-data/timeseries/category/Timer|1|38.674100|38.674100|38.674100|0.000000|38.674100|38.674100|38.674100|38.674100|38.674100|38.674100|38.674100|25.253864|0.000000|0.000000|0.000000|calls/second|milliseconds|[{accept:application/json}{office:SWT}]
1689606443674|https://leary:8443/swt-data/timeseries/group/Timer|1|43.013600|43.013600|43.013600|0.000000|43.013600|43.013600|43.013600|43.013600|43.013600|43.013600|43.013600|22.932203|0.000000|0.000000|0.000000|calls/second|milliseconds|[{accept:application/json}{office:SWT}{include-assigned:true}]
1689606443861|https://leary:8443/swt-data/location/category/Timer|2|79.037000|78.799300|78.561600|0.237700|157.598600|79.037000|79.037000|79.037000|79.037000|79.037000|79.037000|2.639750|0.000000|0.000000|0.000000|calls/second|milliseconds|[{accept:application/json}]
